CG_h2_data1,CG_h2_data2,CG_h2_data3,CG_h2_data4
431,51,1.076666667,0.1
431,52,0.78,1.1
431,55,-0.633333333,0.6
431,58,0.27,0
431,59,0.396666667,0.0499999999999998
431,60,0.326666667,0.15
431,61,0.0599999999999996,0.5
431,62,0.246666667,-0.2
431,63,0.0466666670000002,0.2
431,64,-0.31,0.4
431,67,-0.276666667,0.0499999999999998
431,68,-0.836666667,-0.00999999999999979
431,71,0.25,0.75
431,72,0.543333333,0.35
431,75,0.216666667,1.07
431,76,-0.383333333,0.600000000000001
431,77,-1.183333333,-0.4
431,78,-2.34,0
431,79,-1.38,-1.45
431,80,-1.243333333,-1.4
431,81,-0.98,-0.45
431,84,-0.966666667,0.2
431,87,-0.35,0.01
431,88,-0.453333333,-0.4
431,91,0.476666667,-0.16
431,96,0.466666667,-0.13
431,97,0.453333333,0.44
431,98,0.353333333,0.427
431,99,0.346666667,0.21
431,100,0.133333333,0.21
431,103,-0.646666667,0.31
431,104,-1.56,0.00999999999999979
431,105,-2.696666667,-0.2
431,106,-2.293333333,-0.84
431,107,-0.966666667,-1.48
431,108,-1.543333333,-0.64
431,109,-2.016666667,0.29
431,110,-0.786666667,-1.27
431,111,-0.723333333,-0.11
431,112,-0.313333333,-0.85
431,121,NaN,NaN
431,122,-0.073333333,NaN
431,123,-0.056666667,-0.04
431,124,-0.00333333299999999,0
431,125,-0.073333333,0.07
432,40,-0.96,-0.5
432,41,-1.806666667,NaN
432,42,-0.57,-1.65
432,43,-0.116666667,-1.3
432,44,-0.33,0
432,45,-0.0899999999999999,-0.65
432,46,0.466666667,-0.9
432,47,0.503333333,-0.2
432,48,0.56,0
432,49,0.643333333,0.1
432,50,0.886666667,0.5
432,51,0.876666667,0.4
432,52,0.78,0.9
432,53,0.736666667,0.3
433,40,-1.26,-0.48
433,41,-1.706666667,-0.4
433,42,-1.22,-0.899999999999999
433,43,-0.716666667,-1.3
433,44,-0.56,-0.37
433,45,-0.41,-0.47
433,46,-0.133333333,-0.46
433,47,0.00333333300000005,-0.2
433,48,0.29,-0.43
433,49,0.303333333,0.0299999999999998
433,50,0.836666667,0.0699999999999998
433,51,1.246666667,-0.0499999999999998
433,52,1.28,0.63
433,53,1.236666667,0.42
433,54,0.0466666670000002,1.01
433,55,-1.313333333,0.84
433,56,-0.9,-0.46
433,57,-0.220000000000001,-0.97
433,58,0.0199999999999996,0.15
433,59,0.456666667,-0.13
433,60,0.0766666669999996,0.510000000000001
433,61,0.279999999999999,0.13
433,62,0.00666666700000018,0.51
433,63,0.266666667,-0.00999999999999979
433,64,-0.34,0.899999999999999
433,65,0.0533333330000003,-0.43
433,66,-0.293333333,0.26
433,67,-0.306666667,-0.14
433,68,-0.746666667,-0.13
433,69,-0.843333333,0.25
433,70,0.383333332999999,-1.18
433,71,0.4,0.25
433,72,0.643333332999999,0.15
433,75,0.176666667,0.89
433,76,-0.383333333,0.600000000000001
433,77,-1.523333333,-0.0600000000000005
433,78,-2.63,0.0700000000000003
433,79,-1.38,-2
433,80,-1.643333333,-1
433,81,-1.66,-0.22
433,82,0.0133333330000001,-1.81
433,83,-0.156666667,-0.2
433,84,-0.726666667,0.0600000000000001
433,85,-0.803333333,-0.35
433,86,-0.15,-1.02
433,87,-0.69,0.01
433,88,-0.373333333,-0.78
433,89,0.116666667,-0.74
433,90,0.026666667,0.05
433,91,0.086666667,-0.02
433,92,0.506666667,-0.7
433,93,0.216666667,0.12
433,94,-0.106666667,-0.23
433,95,-0.12,0.00999999999999979
433,96,-0.163333333,0.0100000000000002
433,97,0.193333333,-0.12
433,98,0.203333333,0.2
433,99,0.256666666999999,-0.0999999999999996
433,100,0.00333333299999961,0.25
433,101,-0.316666667,0.399999999999999
433,113,-0.233333333,-0.16
433,122,0.081666667,-0.095
433,123,0.00333333299999999,0.095
433,124,0.076666667,-0.09
433,125,-0.013333333,0.09
433,126,0.03,-0.08
433,127,-0.040666667,0.054
433,128,-0.016666667,0.00800000000000001
433,129,-0.003333333,-0.03
433,130,0.005133333,-0.0218
433,131,-0.063333333,0.0538
433,132,-0.038566667,-0.0281
433,133,-0.033333333,-0.0038
433,134,-0.04,-0.14
433,135,0.01,-0.112
433,136,-0.201066667,0
433,137,-0.146733333,0.1085
433,138,-0.078333333,-0.2601
433,139,-0.120033333,-0.0758
433,140,-0.2067,0
433,141,-0.0467000000000001,-0.25
433,142,0.2435,-0.2002
433,143,0.176666667,0.1812
433,144,-0.0933333330000001,0.4
433,145,0.25,-0.25
433,146,0.23,0.25
433,147,0.24,-0.0600000000000001
433,148,0.276666667,0.04
433,149,-0.163333333,0.27
433,150,-0.58,0.17
434,40,-1.16,-0.8
434,41,-2.006666667,0
434,44,-1.23,-0.5
434,45,-0.84,-1
434,46,-1.033333333,0
434,47,-0.496666667,-0.9
434,48,-0.54,-0.4
434,53,0.536666667,0.4
437,43,-1.416666667,0.0999999999999996
437,44,-1.73,0
437,52,0.78,0.6
437,53,0.536666667,0.4
437,54,-1.103333333,1.3
439,42,-1.82,-0.75
439,43,-1.016666667,-1.9
439,44,-0.93,-0.3
439,45,NaN,NaN
439,46,NaN,NaN
439,47,NaN,NaN
439,48,NaN,NaN
439,49,NaN,NaN
439,50,NaN,NaN
439,51,0.976666667,NaN
439,52,0.58,0.95
439,53,0.736666667,0
439,54,-0.903333333,1.5
439,55,-1.633333333,0.5
439,58,-0.33,-0.25
439,59,0.096666667,-0.25
